Scientific_Name,en_uk,fr,es,nl,no
Amblycorypha rotundifolia,Rattler Round-winged Katydid,Rattler Round-winged Katydid,Rattler Round-winged Katydid,Rattler Round-winged Katydid,Rattler Round-winged Katydid
Amblyornis newtoniana,Golden Bowerbird,Jardinier de Newton,Pergolero Dorado,Meiboombouwer,gyllengartner
Amblyospiza albifrons,Grosbeak Weaver,Amblyospize à front blanc,Tejedor Picogordo,Dikbekwever,tykknebbvever
Amblyramphus holosericeus,Scarlet-headed Blackbird,Carouge à tête rouge,Federal,Roodkoptroepiaal,rødhodetrupial
Ammodramus aurifrons,Yellow-browed Sparrow,Bruant à front d'or,Chingolo Cejigualdo,Geelwanggors,gulmaskespurv
Ammodramus humeralis,Grassland Sparrow,Bruant des savanes,Chingolo Pajonalero,Graslandgors,camposspurv
Ammodramus savannarum,Grasshopper Sparrow,Bruant sauterelle,Chingolo Saltamontes,Sprinkhaangors,gresshoppespurv
Ammomanes cinctura,Bar-tailed Lark,Ammomane élégante,Terrera Colinegra,Rosse Woestijnleeuwerik,mørkhalelerke
Ammomanes deserti,Desert Lark,Ammomane isabelline,Terrera Sahariana,Woestijnleeuwerik,ørkenlerke
Ammomanes phoenicura,Rufous-tailed Lark,Ammomane à queue rouge,Terrera Colirroja,Roodstaartleeuwerik,rusthalelerke
Ammonastes pelzelni,Grey-bellied Antbird,Alapi à ventre gris,Hormiguero Ventrigrís,Grijsbuikmiervogel,spraglekinnmaurfugl
Ammospiza caudacuta,Saltmarsh Sparrow,Bruant à queue aiguë,Chingolo Colifino,Spitsstaartgors,spisshalespurv
Ammospiza leconteii,LeConte's Sparrow,Bruant de LeConte,Chingolo de Leconte,LeContes Gors,gråørespurv
Ammospiza maritima,Seaside Sparrow,Bruant maritime,Chingolo Costero,Kweldergors,marskspurv
Ammospiza nelsoni,Nelson's Sparrow,Bruant de Nelson,Chingolo de Nelson,Nelsons Spitsstaartgors,nålhalespurv
Ampelioides tschudii,Scaled Fruiteater,Cotinga écaillé,Frutero Escamoso,Groengeschubde Cotinga,skjellfrukteter
Ampelion rubrocristatus,Red-crested Cotinga,Cotinga à huppe rouge,Cotinga Crestirrojo,Roodkuifcotinga,rødtoppkotinga
Ampelion rufaxilla,Chestnut-crested Cotinga,Cotinga à tête rousse,Cotinga Cresticastaño,Roodkopcotinga,kragekotinga
Ampelornis griseiceps,Grey-headed Antbird,Alapi à tête grise,Hormiguero Cabecigrís,Palamblamiervogel,gråhodemaurfugl
Amphispiza bilineata,Black-throated Sparrow,Bruant à gorge noire,Chingolo Gorjinegro,Zwartkeelgors,svartstrupespurv
Amphispizopsis quinquestriata,Five-striped Sparrow,Bruant pentaligne,Chingolo Cincorrayas,Vijfstrepengors,sonoraspurv
Anabacerthia amaurotis,White-browed Foliage-gleaner,Anabate bridé,Ticotico Cejiblanco,Witbrauwbladspeurder,hvitbrynløvgransker
Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner,Anabate de Lichtenstein,Ticotico Ocráceo Chico,Lichtensteins Bladspeurder,okerbrystløvgransker
Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner,Anabate rougequeue,Ticotico Colirrufo,Roodstaartbladspeurder,ruststjertløvgransker
Anabacerthia striaticollis,Montane Foliage-gleaner,Anabate montagnard,Ticotico Montano,Bergbladspeurder,hvitbrilleløvgransker
Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,Anabate à lunettes,Ticotico de Anteojos,Schubkeelbladspeurder,okerbrilleløvgransker
Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner,Anabate à grands sourcils,Ticotico Carioscuro,Kuifbladspeurder,lysbukløvgransker
Anabazenops fuscus,White-collared Foliage-gleaner,Anabate à col blanc,Ticotico Acollarado,Witkraagbladspeurder,hvithalsløvgransker
Anairetes alpinus,Ash-breasted Tit-Tyrant,Taurillon gris,Cachudito Pechicenizo,Grijsborstmeestiran,polylepismeisetyrann
Anairetes flavirostris,Yellow-billed Tit-Tyrant,Taurillon à bec jaune,Cachudito Piquiamarillo,Geelsnavelmeestiran,gulnebbmeisetyrann
Anairetes nigrocristatus,Black-crested Tit-Tyrant,Taurillon à cimier noir,Cachudito Crestinegro,Zwartkuifmeestiran,mefistomeisetyrann
Anairetes parulus,Tufted Tit-Tyrant,Taurillon mésange,Cachudito Piquinegro,Pluimmeestiran,guløyemeisetyrann
Anairetes reguloides,Pied-crested Tit-Tyrant,Taurillon roitelet,Cachudito Crestiblanco,Gestreepte Meestiran,lomameisetyrann
Anas acuta,Northern Pintail,Canard pilet,Ánade Rabudo,Pijlstaart,stjertand
Anas andium,Andean Teal,Sarcelle des Andes,Cerceta Andina,Andestaling,andeskrikkand
Anas castanea,Chestnut Teal,Sarcelle rousse,Cerceta Castaña,Kastanjetaling,kastanjeand
Anas crecca,Eurasian/Green-winged Teal,Sarcelle d'hiver,Cerceta Común,Wintertaling,krikkand
Anas diazi,Mexican Duck,Canard du Mexique,Ánade Mexicano,Mexican Duck,mexicoand
Anas flavirostris,Yellow-billed Teal,Sarcelle tachetée,Cerceta Barcina,Chileense Taling,gulnebbkrikkand
Anas fulvigula,Mottled Duck,Canard brun,Ánade Moteado,Gevlekte Eend,golfand
Anas georgica,Yellow-billed Pintail,Canard à queue pointue,Ánade Maicero,Zuid-Amerikaanse Pijlstaart,spisshaleand
Anas gracilis,Grey Teal,Sarcelle australasienne,Cerceta Gris,Australische Taling,nomadeand
Anas platyrhynchos,Mallard,Canard colvert,Ánade Azulón,Wilde Eend,stokkand
Anas poecilorhyncha,Indian Spot-billed Duck,Canard à bec tacheté,Ánade Picopinto Indio,Indische Vlekbekeend,flekknebband
Anas rubripes,American Black Duck,Canard noir,Ánade Sombrío,Amerikaanse Zwarte Eend,rødfotand
Anas superciliosa,Pacific Black Duck,Canard à sourcils,Ánade Cejudo,Wenkbrauweend,stripeand
Anas undulata,Yellow-billed Duck,Canard à bec jaune,Ánade Picolimón,Geelsnaveleend,gulnebband
Anas wyvilliana,Hawaiian Duck,Canard des Hawaï,Ánade Hawaiano,Hawaii-eend,hawaiiand
Anas zonorhyncha,Eastern Spot-billed Duck,Canard de Chine,Ánade Picopinto Chino,Chinese Vlekbekeend,kinaand
Anastomus oscitans,Asian Openbill,Bec-ouvert indien,Picotenaza Asiático,Indische Gaper,asiagapenebb
Anaxipha exigua,Say's Trig,Say's Trig,Say's Trig,Say's Trig,Say's Trig
Anaxyrus americanus,American Toad,American Toad,American Toad,American Toad,American Toad
Anaxyrus canorus,Yosemite Toad,Yosemite Toad,Yosemite Toad,Yosemite Toad,Yosemite Toad
Anaxyrus cognatus,Great Plains Toad,Great Plains Toad,Great Plains Toad,Great Plains Toad,Great Plains Toad
Anaxyrus fowleri,Fowler's Toad,Fowler's Toad,Fowler's Toad,Fowler's Toad,Fowler's Toad
Anaxyrus houstonensis,Houston Toad,Houston Toad,Houston Toad,Houston Toad,Houston Toad
Anaxyrus microscaphus,Arizona Toad,Arizona Toad,Arizona Toad,Arizona Toad,Arizona Toad
Anaxyrus quercicus,Oak Toad,Oak Toad,Oak Toad,Oak Toad,Oak Toad
Anaxyrus speciosus,Texas Toad,Texas Toad,Texas Toad,Texas Toad,Texas Toad
Anaxyrus terrestris,Southern Toad,Southern Toad,Southern Toad,Southern Toad,Southern Toad
Anaxyrus woodhousii,Woodhouse's Toad,Woodhouse's Toad,Woodhouse's Toad,Woodhouse's Toad,Woodhouse's Toad
Ancistrops strigilatus,Chestnut-winged Hookbill,Anabate à bec crochu,Ticotico Picogancho,Haakbekbladspeurder,heklenebb
Andigena hypoglauca,Grey-breasted Mountain-Toucan,Toucan bleu,Tucán Pechigrís,Zwartmaskerbergtoekan,lavendeltukan
Andigena laminirostris,Plate-billed Mountain-Toucan,Toucan montagnard,Tucán Piquiplano,Zwartkruinbergtoekan,platenebbtukan
Andigena nigrirostris,Black-billed Mountain-Toucan,Toucan à bec noir,Tucán Piquinegro,Witwangbergtoekan,svartnebbtukan
Androdon aequatorialis,Tooth-billed Hummingbird,Colibri d'Équateur,Colibrí Piquidentado,Tandsnavelkolibrie,heklenebbkolibri
Andropadus importunus,Sombre Greenbul,Bulbul importun,Bulbul de Zanzíbar,Vale Buulbuul,krattbylbyl
Anhima cornuta,Horned Screamer,Kamichi cornu,Chajá Añuma,Anioema,horngjeterfugl
Anhinga anhinga,Anhinga,Anhinga d'Amérique,Anhinga Americana,Amerikaanse Slangenhalsvogel,amerikaslangehals
Anhinga melanogaster,Oriental Darter,Anhinga roux,Anhinga Asiática,Indische Slangenhalsvogel,skjeggslangehals
Anhinga novaehollandiae,Australasian Darter,Anhinga d'Australie,Anhinga Australiana,Australische Slangenhalsvogel,australslangehals
Anisognathus igniventris,Scarlet-bellied Mountain Tanager,Tangara à ventre rouge,Tangara Ventriescarlata,Roodoorbergtangare,rødbuktanagar
Anisognathus lacrymosus,Lacrimose Mountain Tanager,Tangara larmoyant,Tangara Lacrimosa,Druppelbergtangare,tåretanagar
Anisognathus somptuosus,Blue-winged Mountain Tanager,Tangara somptueux,Tangara Aliazul,Blauwvleugelbergtangare,blåvingetanagar
Anodorhynchus hyacinthinus,Hyacinth Macaw,Ara hyacinthe,Guacamayo Jacinto,Hyacinthara,hyasintara
Anodorhynchus leari,Indigo Macaw,Ara de Lear,Guacamayo de Lear,Lears Ara,indigoara
Anorrhinus galeritus,Bushy-crested Hornbill,Calao largup,Cálao Crestado,Zwartkuifneushoornvogel,bronsehornfugl
Anous ceruleus,Blue-grey Noddy,Noddi bleu,Tiñosa Azulada,Blauwe Noddy,blånoddy
Anous minutus,Black Noddy,Noddi noir,Tiñosa Menuda,Witkapnoddy,svartnoddy
Anous stolidus,Brown Noddy,Noddi brun,Tiñosa Boba,Noddy,brunnoddy
Anous tenuirostris,Lesser Noddy,Noddi marianne,Tiñosa Picofina,Kleine Noddy,smånoddy
Anser albifrons,Greater White-fronted Goose,Oie rieuse,Ánsar Careto,Kolgans,tundragås
Anser anser,Greylag Goose,Oie cendrée,Ánsar Común,Grauwe Gans,grågås
Anser brachyrhynchus,Pink-footed Goose,Oie à bec court,Ánsar Piquicorto,Kleine Rietgans,kortnebbgås
Anser caerulescens,Snow Goose,Oie des neiges,Ánsar Nival,Sneeuwgans,snøgås
Anser canagicus,Emperor Goose,Oie empereur,Ánsar Emperador,Keizergans,keisergås
Anser cygnoides,Swan Goose,Oie cygnoïde,Ánsar Cisnal,Zwaangans,svanegås
Anser erythropus,Lesser White-fronted Goose,Oie naine,Ánsar Chico,Dwerggans,dverggås
Anser fabalis,Taiga Bean Goose,Oie des moissons,Ánsar Campestre de la Taiga,Taigarietgans,sædgås
Anser indicus,Bar-headed Goose,Oie à tête barrée,Ánsar Indio,Indische Gans,stripegås
Anser rossii,Ross's Goose,Oie de Ross,Ánsar de Ross,Ross' Gans,eskimogås
Anser serrirostris,Tundra Bean Goose,Oie de la toundra,Ánsar Campestre de la Tundra,Toendrarietgans,tundrasædgås
Anseranas semipalmata,Magpie Goose,Canaroie semipalmée,Ganso Urraca,Ekstergans,skjæregås
Anthipes monileger,White-gorgeted Flycatcher,Gobemouche à gorge blanche,Papamoscas Gargantilla,Witbefvliegenvanger,prydfluesnapper
Anthipes solitaris,Rufous-browed Flycatcher,Gobemouche à face rousse,Papamoscas Cejirrufo,Roodteugelvliegenvanger,kanelfluesnapper
Anthobaphes violacea,Orange-breasted Sunbird,Souimanga orangé,Suimanga Pechinaranja,Oranjeborsthoningzuiger,fynbossolfugl
Anthochaera carunculata,Red Wattlebird,Méliphage barbe-rouge,Mielero Carunculado,Roodlelhoningeter,rødflikhonningeter
Anthochaera chrysoptera,Little Wattlebird,Méliphage à gouttelettes,Mielero Alirrufo,Kleine Lelhoningeter,banksiahonningeter
Anthochaera lunulata,Western Wattlebird,Méliphage mineur,Mielero Lunulado,Westeljke Lelhoningeter,dryandrahonningeter
Anthochaera paradoxa,Yellow Wattlebird,Méliphage à pendeloques,Mielero Ventriamarillo,Geellelhoningeter,gyllenflikhonningeter
Anthochaera phrygia,Regent Honeyeater,Méliphage régent,Mielero Regente,Geschubde Lelhoningeter,regenthonningeter
Anthornis melanura,New Zealand Bellbird,Méliphage carillonneur,Mielero Maorí,Maoribelhoningvogel,maorihonningeter
Anthoscopus minutus,Southern Penduline Tit,Rémiz minute,Pájaro Moscón de El Cabo,Kaapse Kapokmees,svartpannepungmeis
Anthoscopus musculus,Mouse-coloured Penduline Tit,Rémiz souris,Pájaro Moscón Gris,Grijze Kapokmees,brunpungmeis
Anthracoceros albirostris,Oriental Pied-Hornbill,Calao pie,Cálao Cariblanco,Indische Neushoornvogel,orienthornfugl
Anthracoceros coronatus,Malabar Pied-Hornbill,Calao de Malabar,Cálao Coronado,Malabarneushoornvogel,hinduhornfugl
Anthracoceros malayanus,Black Hornbill,Calao charbonnier,Cálao Malayo,Zwarte Neushoornvogel,malayhornfugl
Anthracothorax nigricollis,Black-throated Mango,Mango à cravate noire,Mango Gorjinegro,Zwartkeelmango,svartbrystmango
Anthreptes malacensis,Brown-throated Sunbird,Souimanga à gorge brune,Suimanga Gorjipardo,Bruinkeel-honingzuiger (malacensis groep),malaysolfugl
Anthreptes orientalis,Eastern Violet-backed Sunbird,Souimanga du Kenya,Suimanga Keniata,Zwaluwhoningzuiger,tornsolfugl
Anthropoides paradiseus,Blue Crane,Grue de paradis,Grulla del Paraíso,Stanleys Kraanvogel,blåtrane
Anthropoides virgo,Demoiselle Crane,Grue demoiselle,Grulla Damisela,Jufferkraanvogel,jomfrutrane
Anthus berthelotii,Berthelot's Pipit,Pipit de Berthelot,Bisbita Caminero,Berthelots Pieper,kanaripiplerke
Anthus bogotensis,Paramo Pipit,Pipit du paramo,Bisbita Andino,Páramopieper,paramopiplerke
Anthus campestris,Tawny Pipit,Pipit rousseline,Bisbita Campestre,Duinpieper,markpiplerke
Anthus cervinus,Red-throated Pipit,Pipit à gorge rousse,Bisbita Gorjirrojo,Roodkeelpieper,lappiplerke
Anthus chacoensis,Pampas Pipit,Pipit du Chaco,Bisbita Chaqueño,Chacopieper,chacopiplerke
Anthus cinnamomeus,African Pipit,Pipit africain,Bisbita Africano,Kaneelpieper,savannepiplerke
Anthus correndera,Correndera Pipit,Pipit correndera,Bisbita Correndera,Correnderapieper,correnderapiplerke
Anthus crenatus,Yellow-tufted Pipit,Pipit des rochers,Bisbita Roquero,Kopjespieper,steinpiplerke
Anthus furcatus,Short-billed Pipit,Pipit à plastron,Bisbita Piquicorto,Witbuikpieper,punapiplerke
Anthus godlewskii,Blyth's Pipit,Pipit de Godlewski,Bisbita Estepario,Mongoolse Pieper,mongolpiplerke
Anthus gustavi,Pechora Pipit,Pipit de la Petchora,Bisbita del Pechora,Petsjorapieper,tundrapiplerke
Anthus hellmayri,Hellmayr's Pipit,Pipit de Hellmayr,Bisbita Pálido,Hellmayrs Pieper,pampaspiplerke
Anthus hodgsoni,Olive-backed Pipit,Pipit à dos olive,Bisbita de Hodgson,Siberische Boompieper,sibirpiplerke
Anthus leucophrys,Plain-backed Pipit,Pipit à dos uni,Bisbita Liso,Bruinrugpieper,brannpiplerke
Anthus lineiventris,Striped Pipit,Pipit de Sundevall,Bisbita Rayado,Gestreepte Pieper,stripepiplerke
Anthus lutescens,Yellowish Pipit,Pipit jaunâtre,Bisbita Amarillento,Yellowish Pipit,gresspiplerke
Anthus nattereri,Ochre-breasted Pipit,Pipit ocré,Bisbita Ocre,Okerborstpieper,okerpiplerke
Anthus novaeseelandiae,New Zealand Pipit,Pipit de Nouvelle-Zélande,Bisbita Neozelandés (grupo novaeseelandiae),Nieuw-Zeelandse Pieper (novaeseelandiae groep),australpiplerke (novaeseelandiae gr.)
Anthus peruvianus,Peruvian Pipit,Pipit du Pérou,Bisbita Peruano,Peruvian Pipit,perupiplerke
Anthus petrosus,Rock Pipit,Pipit maritime,Bisbita Costero,Oeverpieper,skjærpiplerke
Anthus pratensis,Meadow Pipit,Pipit farlouse,Bisbita Pratense,Graspieper,heipiplerke
Anthus richardi,Richard's Pipit,Pipit de Richard,Bisbita de Richard,Grote Pieper,tartarpiplerke
Anthus roseatus,Rosy Pipit,Pipit rosé,Bisbita Rosado,Wijnborstpieper,rosenpiplerke
Anthus rubescens,Buff-bellied Pipit,Pipit d'Amérique,Bisbita Pechianteado,Pacifische Waterpieper,myrpiplerke
Anthus rufulus,Paddyfield Pipit,Pipit rousset,Bisbita Oriental,Oriëntaalse Pieper,orientpiplerke
Anthus similis,Long-billed Pipit,Pipit à long bec,Bisbita Piquilargo,Langsnavelpieper,langnebbpiplerke
Anthus spinoletta,Water Pipit,Pipit spioncelle,Bisbita Alpino,Waterpieper,vannpiplerke
Anthus spragueii,Sprague's Pipit,Pipit de Sprague,Bisbita Llanero,Prairiepieper,præriepiplerke
Anthus sylvanus,Upland Pipit,Pipit montagnard,Bisbita del Himalaya,Hooglandpieper,bergpiplerke
Anthus trivialis,Tree Pipit,Pipit des arbres,Bisbita Arbóreo,Boompieper,trepiplerke
Antigone antigone,Sarus Crane,Grue antigone,Grulla Sarus,Saruskraanvogel,sarustrane
Antigone canadensis,Sandhill Crane,Grue du Canada,Grulla Canadiense,Canadese Kraanvogel,kanadatrane
Antigone rubicunda,Brolga,Grue brolga,Grulla Brolga,Brolgakraanvogel,brolgatrane
Antigone vipio,White-naped Crane,Grue à cou blanc,Grulla Cuelliblanca,Witnekkraanvogel,hvitnakketrane
Antilophia bokermanni,Araripe Manakin,Manakin de Bokermann,Saltarín de Araripe,Araripemanakin,keisermanakin
Antilophia galeata,Helmeted Manakin,Manakin casqué,Saltarín de Yelmo,Helmmanakin,hjelmmanakin
Antrostomus arizonae,Mexican Whip-poor-will,Engoulevent d'Arizona,Chotacabras Cuerporruín Mexicano,Mexicaanse Whippoorwill,azteknattravn
Antrostomus badius,Yucatan Nightjar,Engoulevent maya,Chotacabras Guatemalteco,Yucatánnachtzwaluw,mayanattravn
Antrostomus carolinensis,Chuck-will's-widow,Engoulevent de Caroline,Chotacabras de la Carolina,Chuck Will's Widow,karolinanattravn
Antrostomus noctitherus,Puerto Rican Nightjar,Engoulevent de Porto Rico,Chotacabras Puertorriqueño,Puertoricaanse Whippoorwill,puertoriconattravn
Antrostomus ridgwayi,Buff-collared Nightjar,Engoulevent de Ridgway,Chotacabras Tucuchillo,Ridgways Whippoorwill,mexiconattravn
Antrostomus rufus,Rufous Nightjar,Engoulevent roux,Chotacabras Colorado,Rosse Nachtzwaluw,rustnattravn
Antrostomus salvini,Tawny-collared Nightjar,Engoulevent de Salvin,Chotacabras Ticuer,Salvins Nachtzwaluw,rustnakkenattravn
Antrostomus saturatus,Dusky Nightjar,Engoulevent montagnard,Chotacabras Fuliginoso,Zwarte Nachtzwaluw,costaricanattravn
Antrostomus sericocaudatus,Silky-tailed Nightjar,Engoulevent à queue de soie,Chotacabras Coladeseda,Zijdestaartnachtzwaluw,silkestjertnattravn
Antrostomus vociferus,Eastern Whip-poor-will,Engoulevent bois-pourri,Chotacabras Cuerporruín Norteño,Whippoorwill,eikenattravn
Anumbius annumbi,Firewood-gatherer,Annumbi fagoteur,Leñatero,Sprokkelaar,kvistsamler
Anurolimnas castaneiceps,Chestnut-headed Crake,Râle à masque rouge,Polluela Pituro,Kastanjekopral,kastanjehoderikse
Anurolimnas fasciatus,Black-banded Crake,Râle fascié,Polluela Barreada,Zwartbandral,selvasrikse
Anurolimnas viridis,Russet-crowned Crake,Râle kiolo,Polluela Coronirrufa,Roodkruinral,krattrikse
Apalis alticola,Brown-headed Apalis,Apalis à tête brune,Apalis Cabecipardo,Bruinkopapalis,brunhodeapalis
Apalis chapini,Chapin's Apalis,Apalis de Chapin,Apalis de Chapin,Chapins Apalis,brunmaskeapalis
Apalis cinerea,Grey Apalis,Apalis cendrée,Apalis Gris,Grijze Apalis,gråapalis
Apalis flavida,Yellow-breasted Apalis,Apalis à gorge jaune,Apalis Pechigualdo,Geelborstapalis,gulbrystapalis
Apalis jacksoni,Black-throated Apalis,Apalis à gorge noire,Apalis Gorjinegro,Zwartkeelapalis,svartstrupeapalis
Apalis melanocephala,Black-headed Apalis,Apalis à tête noire,Apalis Cabecinegro,Tanzania-apalis,svarthodeapalis
Apalis personata,Black-faced Apalis,Apalis à face noire,Apalis Carinegro,Kivuapalis,hvithalsapalis
Apalis porphyrolaema,Chestnut-throated Apalis,Apalis à gorge marron,Apalis Gorjicastaño,Bergapalis (porphyrolaema/affinis),brunstrupeapalis
Apalis ruddi,Rudd's Apalis,Apalis de Rudd,Apalis de Rudd,Rudds Apalis,mosambikapalis
Apalis rufogularis,Buff-throated Apalis,Apalis à gorge rousse,Apalis Gorjirrufo,Zwartrugapalis,sotapalis
Apalis sharpii,Sharpe's Apalis,Apalis de Sharpe,Apalis de Sharpe,Kortstaartapalis,skiferapalis
Apalis thoracica,Bar-throated Apalis,Apalis à collier,Apalis Acollarado,Halsbandapalis (thoracica groep),ringapalis
Apaloderma narina,Narina Trogon,Trogon narina,Trogón de Narina,Narinatrogon,narinatrogon
Apaloderma vittatum,Bar-tailed Trogon,Trogon à queue barrée,Trogón Montano,Bandstaarttrogon,blåbeltetrogon
Aphanotriccus audax,Black-billed Flycatcher,Moucherolle à bec noir,Mosquero Piquinegro,Nelsons Tiran,svartnebbtyrann
Aphanotriccus capitalis,Tawny-chested Flycatcher,Moucherolle à poitrine fauve,Mosquero Pechileonado,Salvins Tiran,lorgnettyrann
Aphelocephala leucopsis,Southern Whiteface,Acanthize blanchâtre,Cariblanco Meridional,Zuidelijke Witgezicht,silkehvitmaske
Aphelocoma californica,California Scrub-Jay,Geai buissonnier,Chara Californiana,California Scrub-Jay,krattskrike
Aphelocoma coerulescens,Florida Scrub-Jay,Geai à gorge blanche,Chara Floridana,Floridastruikgaai,floridaskrike
Aphelocoma ultramarina,Transvolcanic Jay,Geai des volcans,Chara Mexicana,Zuid-Mexicaanse Gaai,gråbrystskrike
Aphelocoma unicolor,Unicoloured Jay,Geai unicolore,Chara Unicolor,Leiblauwe Gaai,indigoskrike
Aphelocoma wollweberi,Mexican Jay,Geai du Mexique,Chara Pechigrís,Noord-Mexicaanse Gaai,mexicoskrike
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,Geai de Woodhouse,Chara de Woodhouse,Woodhouse's Scrub-Jay,einerskrike
Aphrastura spinicauda,Thorn-tailed Rayadito,Synallaxe rayadito,Rayadito Común,Doornstaartrayadito,gulbryntornstjert
Apis mellifera,Honey Bee,Honey Bee,Honey Bee,Honey Bee,Honey Bee
Aplonis atrifusca,Samoan Starling,Stourne de Samoa,Estornino de Samoa,Samoapurperspreeuw,samoastær
Aplonis grandis,Brown-winged Starling,Stourne des Salomon,Estornino de las Salomón,Grote Purperspreeuw,brunvingestær
Aplonis metallica,Metallic Starling,Stourne luisant,Estornino Lustroso,Violette Purperspreeuw,metallstær
Aplonis mysolensis,Moluccan Starling,Stourne des Moluques,Estornino Moluqueño,Molukse Purperspreeuw,molukkstær
